id,usmle_category,correct_len,max_distractor_len,len_gap,correct_answer
320,22. Psychopharmacology,276,65,211,"Ketamine represents a paradigm shift for treatment-resistant depression through rapid-onset effects and novel NMDA antagonism; esketamine offers potential advantages; however, long-term efficacy, optimal dosing, and patient selection criteria remain active investigation areas"
990,22. Psychopharmacology,267,57,210,"Autism introduces unique challenges: social communication deficits in job interviews, sensory accommodation needs in work environments, executive function support, independent living skills, and peer relationship building are critical areas requiring targeted support"
995,22. Psychopharmacology,249,58,191,"Girls' autism is often missed due to: better social camouflaging/masking of differences, underrepresentation in referral literature, female-specific presentations (focused interests appearing age-appropriate), clinician bias favoring male phenotypes"
319,22. Psychopharmacology,248,64,184,"Ketamine has legitimate medical uses (anesthesia, analgesia) and, when administered in controlled clinical settings with proper dosing and monitoring, produces antidepressant effects; street use differs fundamentally in dosing, setting, and context"
996,22. Psychopharmacology,233,65,168,"Augmentative and alternative communication (AAC) methods (picture exchange, sign language, speech-generating devices, text-to-speech apps) enable meaningful communication; speech output devices show particular promise in recent years"
279,1. Assessment Fundamentals,217,55,162,"Accurate diagnosis requires comprehensive history (including past psychiatric episodes, family history, substance use, trauma), mental status examination (observable data), and integration of all available information"
280,1. Assessment Fundamentals,237,75,162,"Comprehensive assessment integrating rapport and alliance-building, systematic history (presenting problem, psychiatric history, medical history, substance use, psychosocial factors), mental status examination, and diagnostic formulation"
790,11. Feeding and Eating Disorders,230,68,162,"CBT-E is transdiagnostic, addressing core cognitive distortions (overvaluation of appearance/weight, dichotomous thinking about food) across all eating disorder categories through behavioral experiments and cognitive restructuring"
311,16. Substance-Related Disorders,234,83,151,"Legal status does not determine safety or toxicity. Synthetic drugs exploit regulatory gaps and lack FDA oversight, quality control, and pharmacological characterization. Legal availability has not prevented severe toxicity and death."
983,22. Psychopharmacology,198,49,149,"Untreated ADHD increases relapse risk; appropriate ADHD treatment can improve recovery outcomes by addressing executive dysfunction, impulsivity, and reward sensitivity underlying addictive behavior"
360,22. Psychopharmacology,165,19,146,"Early serendipity (MAOIs, lithium, chlorpromazine); mechanistic reverse-engineering. Modern combines rational design with rigorous RCTs; serendipity remains valuable"
975,22. Psychopharmacology,221,76,145,"Yes, carefully. After symptom resolution, alternative antidepressants (preferably non-serotonergic or low serotonergic activity) can be reintroduced with avoidance of previous offending combinations and careful monitoring"
974,22. Psychopharmacology,187,44,143,"SSRI + MAOI combination is a medical emergency causing serotonin syndrome; discontinue both immediately, provide supportive care (cyproheptadine as serotonin antagonist may be considered)"
184,2. Neurodevelopmental Disorders,170,28,142,"Girls may mask social difficulties through 'camouflaging,' have less obvious restricted interests (more focused on animals/books), and may show different sensory profiles"
454,"27. Forensic, Ethics, and Legal Issues",199,57,142,"Psychiatry retains legal and moral authority to treat without consent, administer consciousness-altering medications, and deal with patients whose illness impairs their capacity to understand illness"
54,9. Dissociative Disorders,182,41,141,"In DID, alternate identities are experienced as part of self; in psychosis, hallucinations and delusions are experienced as external. DID patients typically maintain reality testing."
998,22. Psychopharmacology,205,66,139,"Lithium carries increased risk of Ebstein's anomaly (right ventricular outflow obstruction); while risk is modest (~0.05-0.1% vs. baseline 0.01%), benefit of mood stabilization must be weighed against risk"
208,3. Schizophrenia Spectrum,233,95,138,"Catatonia remains one of the most frequently missed presentations in psychiatry and neurology, with diagnostic delays averaging 2-6 weeks, making early recognition and treatment essential to prevent progression to malignant catatonia"
978,22. Psychopharmacology,212,74,138,"History of SUD warrants caution but does not preclude stimulant therapy; careful monitoring, non-stimulant options, and appropriate safeguards (pill counts, urine screens) enable safe treatment in select patients"
272,23. Psychotherapy and Non-Pharmacologic,211,75,136,"Behavioral modification addresses maladaptive patterns through systematic exposure, reinforcement, and activity scheduling, with strong evidence for depression, anxiety, PTSD, substance use, and other conditions"
356,22. Psychopharmacology,158,22,136,"First-generation (chlorpromazine, haloperidol) serendipity; second-generation rationally designed with D2+serotonin antagonism reducing extrapyramidal effects"
160,24. Psychiatric Emergencies,239,104,135,"C-SSRS is a valuable structured assessment tool but positive results require clinical judgment incorporating severity, intent, plan, means access, and protective factors; PPV limitation means most positive screens represent low actual risk"
936,22. Psychopharmacology,191,56,135,Acute benzodiazepine use (weeks-months) for specific anxiety triggers is evidence-based; chronic use for generalized anxiety is not recommended due to dependence risk and diminishing efficacy
150,23. Psychotherapy and Non-Pharmacologic,223,89,134,"Transition from unmodified to modified ECT reflects recognition that convulsive therapy could be administered safely and effectively through anesthesia and paralysis, reducing violent muscle contractions and iatrogenic harm"
